"","code_insee","code_pat"
"9109","26193","21"
"9109.1","26193","24"
"9110","26194","24"
"9110.1","26194","12"
"9111","26195","24"
"9111.1","26195","28"
"9112","26196","23"
"9112.1","26196","24"
"9113","26197","23"
"9113.1","26197","24"
"9114","26198","24"
"9114.1","26198","26"
"9115","26199","21"
"9115.1","26199","24"
"9116","26200","21"
"9116.1","26200","24"
"9117","26201","21"
"9117.1","26201","24"
"9118","26202","21"
"9118.1","26202","24"
"9118.2","26202","27"
"9119","26203","24"
"9120","26204","24"
"9120.1","26204","25"
"9121","26205","24"
"9121.1","26205","25"
"9122","26206","23"
"9122.1","26206","24"
"9123","26207","23"
"9123.1","26207","24"
"9124","26208","24"
"9124.1","26208","28"
"9125","26209","21"
"9125.1","26209","24"
"9126","26210","23"
"9126.1","26210","24"
"9127","26211","24"
"9128","26212","23"
"9128.1","26212","24"
"9129","26213","24"
"9130","26214","24"
"9130.1","26214","28"
"9131","26215","21"
"9131.1","26215","24"
"9131.2","26215","25"
"9132","26216","24"
"9133","26217","31"
"9133.1","26217","22"
"9133.2","26217","24"
"9134","26218","23"
"9134.1","26218","24"
"9135","26220","21"
"9135.1","26220","24"
"9136","26221","31"
"9136.1","26221","24"
"9136.2","26221","28"
"9137","26222","24"
"9137.1","26222","27"
"9138","26223","31"
"9138.1","26223","22"
"9138.2","26223","24"
"9139","26224","23"
"9139.1","26224","24"
"9140","26225","23"
"9140.1","26225","24"
"9141","26226","24"
"9142","26227","21"
"9142.1","26227","24"
"9143","26228","24"
"9143.1","26228","25"
"9144","26229","24"
"9145","26231","23"
"9145.1","26231","24"
"9146","26232","23"
"9146.1","26232","24"
"9147","26233","21"
"9147.1","26233","24"
"9148","26234","24"
"9148.1","26234","29"
"9149","26235","24"
"9149.1","26235","30"
"9150","26236","21"
"9150.1","26236","24"
"9151","26238","21"
"9151.1","26238","24"
"9152","26239","21"
"9152.1","26239","24"
"9153","26240","31"
"9153.1","26240","24"
"9153.2","26240","28"
"9154","26241","24"
"9154.1","26241","28"
"9155","26242","21"
"9155.1","26242","24"
"9156","26243","24"
"9156.1","26243","27"
"9157","26244","21"
"9157.1","26244","24"
"9158","26245","21"
"9158.1","26245","24"
"9159","26246","31"
"9159.1","26246","24"
"9159.2","26246","25"
"9160","26247","24"
"9161","26248","24"
"9161.1","26248","25"
"9162","26249","24"
"9162.1","26249","27"
"9163","26250","24"
"9163.1","26250","12"
"9164","26251","24"
"9164.1","26251","26"
"9165","26252","23"
"9165.1","26252","24"
"9166","26253","24"
"9166.1","26253","25"
"9167","26254","24"
"9167.1","26254","25"
"9168","26255","24"
"9168.1","26255","25"
"9169","26256","21"
"9169.1","26256","24"
"9170","26257","24"
"9170.1","26257","26"
"9171","26258","24"
"9171.1","26258","28"
"9172","26259","24"
"9173","26261","24"
"9174","26262","24"
"9174.1","26262","25"
"9175","26263","21"
"9175.1","26263","24"
"9176","26264","24"
"9177","26266","24"
"9177.1","26266","29"
"9178","26267","21"
"9178.1","26267","24"
"9179","26268","24"
"9179.1","26268","27"
"9180","26269","21"
"9180.1","26269","24"
"9181","26270","31"
"9181.1","26270","22"
"9181.2","26270","24"
"9182","26271","24"
"9182.1","26271","12"
"9183","26272","24"
"9183.1","26272","26"
"9184","26273","23"
"9184.1","26273","24"
"9185","26274","24"
"9185.1","26274","25"
"9186","26275","24"
"9186.1","26275","30"
"9187","26276","21"
"9187.1","26276","24"
"9187.2","26276","27"
"9188","26277","24"
"9188.1","26277","28"
"9189","26278","21"
"9189.1","26278","24"
"9190","26279","21"
"9190.1","26279","24"
"9191","26281","23"
"9191.1","26281","24"
"9192","26282","31"
"9192.1","26282","24"
"9192.2","26282","25"
"9193","26283","24"
"9193.1","26283","25"
"9194","26284","24"
"9195","26285","24"
"9196","26286","21"
"9196.1","26286","24"
"9197","26287","24"
"9197.1","26287","26"
"9198","26288","21"
"9198.1","26288","24"
"9199","26289","24"
"9199.1","26289","29"
"9200","26290","31"
"9200.1","26290","22"
"9200.2","26290","24"
"9201","26291","31"
